-0.75,1.0,0.0,0.643,1.1
-1.25,1.0,0.0,0.776,1.035
-1.0,0.6,0.0,0.643,1.1
0.0,1.0,0.0,0.6,1.1
-0.75,1.0,0.0,0.643,1.1
-0.5,0.6,0.0,0.643,1.1
0.625,1.0,0.194,0.423,0.569
0.0,1.0,0.0,0.6,1.1
0.375,0.6,0.207,0.207,0.487
1.25,1.0,0.009,0.09,0.166
0.625,1.0,0.194,0.423,0.569
0.875,0.4,0.104,0.091,0.259
-1.0,0.6,0.0,0.643,1.1
-1.25,1.0,0.0,0.776,1.035
-1.25,0.2,0.362,0.315,0.66
-0.75,0.4,0.056,0.6,1.018
-1.0,0.6,0.0,0.643,1.1
-1.25,0.2,0.362,0.315,0.66
-0.5,0.6,0.0,0.643,1.1
-0.75,1.0,0.0,0.643,1.1
-1.0,0.6,0.0,0.643,1.1
-0.5,0.6,0.0,0.643,1.1
-1.0,0.6,0.0,0.643,1.1
-0.75,0.4,0.056,0.6,1.018
0.0,0.3,0.138,0.155,0.522
0.0,1.0,0.0,0.6,1.1
-0.5,0.6,0.0,0.643,1.1
0.0,0.3,0.138,0.155,0.522
0.375,0.6,0.207,0.207,0.487
0.0,1.0,0.0,0.6,1.1
0.875,0.4,0.104,0.091,0.259
0.625,1.0,0.194,0.423,0.569
0.375,0.6,0.207,0.207,0.487
1.25,0.1,0.16,0.0,0.25
1.25,1.0,0.009,0.09,0.166
0.875,0.4,0.104,0.091,0.259
0.375,-0.0,0.104,0.022,0.198
0.375,0.6,0.207,0.207,0.487
0.0,0.3,0.138,0.155,0.522
-0.375,-0.0,0.207,0.207,0.487
-0.5,0.6,0.0,0.643,1.1
-0.75,0.4,0.056,0.6,1.018
0.0,0.3,0.138,0.155,0.522
-0.5,0.6,0.0,0.643,1.1
-0.375,-0.0,0.207,0.207,0.487
-0.75,-0.1,0.393,0.189,0.725
-0.75,0.4,0.056,0.6,1.018
-1.25,0.2,0.362,0.315,0.66
-0.75,-0.1,0.393,0.189,0.725
-1.25,0.2,0.362,0.315,0.66
-1.25,-0.64,0.143,0.121,0.574
-0.375,-0.0,0.207,0.207,0.487
-0.75,0.4,0.056,0.6,1.018
-0.75,-0.1,0.393,0.189,0.725
0.375,-0.0,0.104,0.022,0.198
0.0,0.3,0.138,0.155,0.522
-0.375,-0.0,0.207,0.207,0.487
0.875,0.4,0.104,0.091,0.259
0.375,0.6,0.207,0.207,0.487
0.375,-0.0,0.104,0.022,0.198
1.25,0.1,0.16,0.0,0.25
0.875,0.4,0.104,0.091,0.259
0.375,-0.0,0.104,0.022,0.198
-0.375,-0.5,0.086,0.017,0.315
-0.75,-0.1,0.393,0.189,0.725
-1.25,-0.64,0.143,0.121,0.574
-0.375,-0.5,0.086,0.017,0.315
-0.375,-0.0,0.207,0.207,0.487
-0.75,-0.1,0.393,0.189,0.725
0.125,-0.5,0.035,0.004,0.181
-0.375,-0.0,0.207,0.207,0.487
-0.375,-0.5,0.086,0.017,0.315
0.125,-0.5,0.035,0.004,0.181
0.375,-0.0,0.104,0.022,0.198
-0.375,-0.0,0.207,0.207,0.487
0.625,-0.4,0.022,0.009,0.095
0.375,-0.0,0.104,0.022,0.198
0.125,-0.5,0.035,0.004,0.181
0.625,-0.4,0.022,0.009,0.095
1.25,0.1,0.16,0.0,0.25
0.375,-0.0,0.104,0.022,0.198
1.25,-1.0,0.0,0.129,0.259
1.25,0.1,0.16,0.0,0.25
0.625,-0.4,0.022,0.009,0.095
1.25,-1.0,0.0,0.129,0.259
0.625,-0.4,0.022,0.009,0.095
0.375,-1.0,0.0,0.0,0.0
0.375,-1.0,0.0,0.0,0.0
0.625,-0.4,0.022,0.009,0.095
0.125,-0.5,0.035,0.004,0.181
0.375,-1.0,0.0,0.0,0.0
0.125,-0.5,0.035,0.004,0.181
-0.5,-1.0,0.017,0.004,0.078
-0.5,-1.0,0.017,0.004,0.078
0.125,-0.5,0.035,0.004,0.181
-0.375,-0.5,0.086,0.017,0.315
-0.5,-1.0,0.017,0.004,0.078
-0.375,-0.5,0.086,0.017,0.315
-1.25,-1.0,0.16,0.008,0.008
-1.25,-0.64,0.143,0.121,0.574
-1.25,-1.0,0.16,0.008,0.008
-0.375,-0.5,0.086,0.017,0.315
