-1.5,1.0,0.08,0.335,0.406
-1.5,-0.2,0.137,0.176,0.225
-1.05,0.3,0.0,0.088,0.135
-1.5,1.0,0.08,0.335,0.406
-1.05,0.3,0.0,0.088,0.135
-0.6,0.4,0.0,0.184,0.233
-1.5,1.0,0.08,0.335,0.406
-0.6,0.4,0.0,0.184,0.233
0.0,1.0,0.133,0.404,0.478
0.0,1.0,0.133,0.404,0.478
-0.6,0.4,0.0,0.184,0.233
0.3,0.4,0.0,0.124,0.178
0.0,1.0,0.133,0.404,0.478
0.3,0.4,0.0,0.124,0.178
1.5,1.0,0.002,0.173,0.231
1.5,1.0,0.002,0.173,0.231
0.3,0.4,0.0,0.124,0.178
1.5,-1.0,0.0,0.088,0.135
0.3,0.4,0.0,0.124,0.178
-0.6,0.4,0.0,0.184,0.233
0.0,0.2,0.0,0.088,0.135
0.3,0.4,0.0,0.124,0.178
0.0,0.2,0.0,0.088,0.135
1.5,-1.0,0.0,0.088,0.135
0.0,0.2,0.0,0.088,0.135
-0.6,0.4,0.0,0.184,0.233
-0.6,0.1,0.002,0.196,0.233
-0.6,0.1,0.002,0.196,0.233
-0.6,0.4,0.0,0.184,0.233
-1.05,0.3,0.0,0.088,0.135
-1.05,0.3,0.0,0.088,0.135
-1.5,-0.2,0.137,0.176,0.225
-0.6,0.1,0.002,0.196,0.233
-0.45,-0.3,0.002,0.059,0.09
-0.6,0.1,0.002,0.196,0.233
-1.5,-0.2,0.137,0.176,0.225
-0.45,-0.3,0.002,0.059,0.09
-1.5,-0.2,0.137,0.176,0.225
-1.5,-1.0,0.204,0.212,0.218
1.5,-1.0,0.0,0.088,0.135
-0.45,-0.3,0.002,0.059,0.09
-1.5,-1.0,0.204,0.212,0.218
0.0,0.2,0.0,0.088,0.135
-0.6,0.1,0.002,0.196,0.233
-0.45,-0.3,0.002,0.059,0.09
1.5,-1.0,0.0,0.088,0.135
0.0,0.2,0.0,0.088,0.135
-0.45,-0.3,0.002,0.059,0.09
